P13647,KRT5
P13746,HLA-A
M0R2P6,SHKBP1
Q15036,SNX17
Q99942,RNF5
P14406,COX7A2
Q92982,NINJ1
E5RFJ8,MCM4
Q12802,AKAP13
K7ERW1,OAZ1
O60814,HIST1H2BK
Q5JUQ2,FAM78A
P51003,PAPOLA
Q5QNW6,HIST2H2BF
Q9UQ88,CDK11A
Q7Z403-2,TMC6
Q15149,PLEC
F6RFD5,DSTN
Q9P2E3,ZNFX1
E9PR89,SGK1
Q8TAQ2,SMARCC2
Q99728,BARD1
Q6E0U4,DMKN
Q14683,SMC1A
A0A0G2JS92,VPS11
Q9P0J0-2,NDUFA13
P20020-2,ATP2B1
Q99717,SMAD5
O95319-4,CELF2
Q13243,SRSF5
Q10570,CPSF1
P18463,HLA-B
F8W7G9,MSH6
O60841,EIF5B
A0A0D9SEM4,SRSF4
O43292,GPAA1
Q92611,EDEM1
Q6P3W7,SCYL2
P00450,CP
P62195,PSMC5
O95671,ASMTL
Q6ZNJ1,NBEAL2
Q9P2J3,KLHL9
H0YHU2,TMEM106C
Q14697,GANAB
Q7L576,CYFIP1
Q9BSJ2,TUBGCP2
Q8NEZ4,KMT2C
Q96TA2,YME1L1
Q13049,TRIM32
Q9UFW8,CGGBP1
P02545,LMNA
Q9C0C9,UBE2O
Q9H5I5,PIEZO2
Q12778,FOXO1
Q93063,EXT2
Q5M775,SPECC1
H0Y2P0,CD44
Q9NZL6,RGL1
Q9NU19,TBC1D22B
Q9NYF5,FAM13B
Q13206,DDX10
Q16666-6,IFI16
E7EWW9,GSTM1
Q92794,KAT6A
Q8N1F8,STK11IP
P49840,GSK3A
Q4VC44,FLYWCH1
Q6V0I7,FAT4
Q9NP61,ARFGAP3
Q9P243,ZFAT
Q9H444,CHMP4B
Q6NW34,NEPRO
P19419,ELK1
Q9Y5H4,PCDHGA1
A0A0U1RRE5,LINC01420
Q02809,PLOD1
P16403,HIST1H1C
Q6P589,TNFAIP8L2
A0A024QZ42,PDCD6
A0A1B0GUS7,UNC13B
P55058,PLTP
A0A0U1RRL5,ELF1
Q96PQ6,ZNF317
Q9NW64,RBM22
Q8N8A2-4,ANKRD44
M0QZK8,
Q96HW7,INTS4
Q9Y696,CLIC4
G3V1P5,MED15
P43250,GRK6
Q96L91,EP400
X6R3U4,PLEKHH3
H0YBS1,INTS8
P61513,RPL37A
F5H552,RIMKLB
O95486,SEC24A
