row,gene_name,Disease involvement,Ensembl,Evidence,Gene,Gene synonym,Subcellular additional location,Subcellular main location
P13647,KRT5,"[u'Disease variant', u'Epidermolysis bullosa']",ENSG00000186081,Evidence at protein level,KRT5,"[u'EBS2', u'KRT5A']",None,[u'Intermediate filaments']
P13746,HLA-A,[u'Cancer-related genes'],ENSG00000206503,Evidence at protein level,HLA-A,[],[u'Golgi apparatus'],[u'Plasma membrane']
M0R2P6,SHKBP1,None,ENSG00000160410,Evidence at protein level,SHKBP1,"[u'PP203', u'Sb1']",None,[u'Cell Junctions']
Q15036,SNX17,None,ENSG00000115234,Evidence at protein level,SNX17,[u'KIAA0064'],[u'Cytosol'],[u'Vesicles']
Q99942,RNF5,None,ENSG00000204308,Evidence at protein level,RNF5,"[u'G16', u'NG2', u'RING5', u'RMA1']",None,[u'Endoplasmic reticulum']
P14406,COX7A2,None,ENSG00000112695,Evidence at transcript level,COX7A2,"[u'COX7AL', u'COXVIIa-L']",None,None
Q92982,NINJ1,None,ENSG00000131669,Evidence at protein level,NINJ1,[u'NIN1'],None,None
E5RFJ8,MCM4,None,ENSG00000104738,Evidence at protein level,MCM4,"[u'CDC21', u'CDC54', u'hCdc21', u'MGC33310', u'P1-Cdc21']",None,[u'Nucleoplasm']
Q12802,AKAP13,[u'Proto-oncogene'],ENSG00000170776,Evidence at protein level,AKAP13,"[u'AKAP-Lbc', u'ARHGEF13', u'BRX', u'c-lbc', u'HA-3', u'Ht31', u'LBC', u'PROTO-LB']",None,[u'Cytosol']
K7ERW1,OAZ1,None,ENSG00000104904,Evidence at protein level,OAZ1,"[u'AZ1', u'AZI', u'MGC138338', u'OAZ']",[u'Centriolar satellite'],[u'Vesicles']
O60814,HIST1H2BK,None,ENSG00000197903,Evidence at protein level,H2BC12,"[u'H2BFAiii', u'H2BFT', u'HIST1H2BK']",[u'Cytosol'],[u'Nucleoplasm']
Q5JUQ2,FAM78A,None,ENSG00000126882,Evidence at protein level,FAM78A,"[u'C9orf59', u'FLJ00024']",None,"[u'Nucleoplasm', u'Vesicles']"
P51003,PAPOLA,None,ENSG00000090060,Evidence at protein level,PAPOLA,[u'PAP'],None,[u'Nucleoplasm']
Q5QNW6,HIST2H2BF,None,ENSG00000203814,Evidence at protein level,H2BC18,[u'HIST2H2BF'],[u'Cytosol'],[u'Nucleoplasm']
Q9UQ88,CDK11A,None,ENSG00000008128,Evidence at protein level,CDK11A,"[u'CDC2L2', u'CDC2L3', u'CDK11-p110', u'CDK11-p46', u'CDK11-p58', u'p58GTA', u'PITSLRE']",[u'Cytosol'],[u'Nuclear speckles']
Q7Z403-2,TMC6,None,ENSG00000141524,Evidence at protein level,TMC6,"[u'EVER1', u'EVIN1', u'LAK-4P', u'TNRC6C-AS1']",None,None
Q15149,PLEC,"[u'Cancer-related genes', u'Disease variant', u'Epidermolysis bullosa', u'Limb-girdle muscular dystrophy']",ENSG00000178209,Evidence at protein level,PLEC,"[u'EBS1', u'PCN', u'PLEC1', u'PLTN']",[u'Focal adhesion sites'],"[u'Intermediate filaments', u'Cytosol']"
F6RFD5,DSTN,None,ENSG00000125868,Evidence at protein level,DSTN,"[u'ACTDP', u'ADF']",None,None
Q9P2E3,ZNFX1,None,ENSG00000124201,Evidence at protein level,ZNFX1,"[u'FLJ11277', u'KIAA1404']",None,[u'Mitochondria']
E9PR89,SGK1,[u'Cancer-related genes'],ENSG00000118515,Evidence at protein level,SGK1,[u'SGK'],None,[u'Nuclear speckles']
Q8TAQ2,SMARCC2,"[u'Disease variant', u'Mental retardation']",ENSG00000139613,Evidence at protein level,SMARCC2,"[u'BAF170', u'CRACC2', u'Rsc8']",None,[u'Nucleoplasm']
Q99728,BARD1,[u'Cancer-related genes'],ENSG00000138376,Evidence at protein level,BARD1,[],[u'Cytoplasmic bodies'],"[u'Nucleoplasm', u'Nuclear speckles']"
